Saison,Âge,Équipe,Comp,AMT,PassLive,PassDead,TO,Tirs_x,Ftp,Déf,AMB,Touches,SurfRépDéf,ZDéf_x,MilTer_x,ZOff_x,SurfRépOff,Action de jeu,Att_x,Succ,Succ%,Tkld,Tkld%,Balle au pied,TotDist_x,DistBut_x,PrgC_x,1/3_x,Buts_x,Tirs_y,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM_x,PénT_x,Tcl,TclR,ZDéf_y,MilTer_y,ZOff_y,Tcl.1,Att_y,Tcl%,Balles contrées,Tirs,Passe,Int,Tcl+Int,Dég,MJ,Titulaire,Min,Buts_y,PD_x,B+PD,B-PénM,PénM_y,PénT_y,CJ,CR,xAG_x,npxG+xAG,PrgC_y,PrgP_x,PrgR,Buts.1,PD.1,B+PD.1,B-PénM.1,B+PD-PénM,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Cmp,Att,Cmp%,TotDist_y,DistBut_y,PD_y,xAG_y,xA,A-xAG,PC,1/3_y,PPA,CntSR,PrgP_y
2014-2015,21,Paris S-G,Trophée des Champions,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,90,0,-1.0,-1.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015-2016,22,Paris S-G,1. Champions Lg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,1.0,-1.0,-1.0,0.25,-1.0,0.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5,5,358,0,1.0,1.0,0,0,0,2,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.25,0.25,0.0,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015-2016,22,Paris S-G,1. Coupe de la Ligue,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,2,167,0,0.0,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015-2016,22,Paris S-G,1. Ligue 1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,2.0,-1.0,-1.0,0.17,-1.0,0.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18,11,1064,0,3.0,3.0,0,0,0,2,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.25,0.25,0.0,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2015-2016,22,Paris S-G,Trophée des Champions,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,1,1,68,0,0.0,0.0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2016-2017,23,Paris S-G,1. Champions Lg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2.0,0.0,0.0,0.3,0.0,0.0,-1.0,-1.0,-1.0,0,0,-1.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,7,7,599,0,2.0,2.0,0,0,0,3,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.3,0.3,0.0,0.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2016-2017,23,Paris S-G,1. Coupe de la Ligue,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,4,296,0,2.0,2.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.61,0.61,0.0,0.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2016-2017,23,Paris S-G,1. Ligue 1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,12.0,5.0,41.7,0.5,0.21,0.25,0.6,-1.0,-1.0,0,0,-1.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,-1.0,-1.0,28,25,2148,3,5.0,8.0,3,0,0,6,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13,0.21,0.34,0.13,0.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2016-2017,23,Paris S-G,Coupe de France,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,2,188,0,0.0,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2016-2017,23,Paris S-G,Trophée des Champions,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1,0,24,0,0.0,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2017-2018,24,Paris S-G,1. Champions Lg,19.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,810.0,17.0,189.0,512.0,115.0,5.0,810.0,11.0,9.0,81.8,2.0,18.2,510.0,2016.0,975.0,8.0,9.0,2,4.0,3.0,75.0,0.56,0.42,0.5,0.67,23.4,0.0,0,0,26.0,14.0,11.0,11.0,4.0,14.0,25.0,56.0,13.0,4.0,9.0,14.0,40.0,5.0,8,8,640,2,2.0,4.0,2,0,0,1,2,1.1,1.2,8.0,66.0,13.0,0.28,0.28,0.56,0.28,0.56,0.02,0.15,0.17,0.02,0.17,675.0,743.0,90.8,10489.0,3272.0,2.0,1.1,1.3,0.9,9.0,54.0,17.0,2.0,66.0
2017-2018,24,Paris S-G,1. Coupe de la Ligue,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,4,319,0,0.0,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2017-2018,24,Paris S-G,1. Ligue 1,73.0,61.0,5.0,1.0,0.0,4.0,2.0,12.0,2229.0,39.0,373.0,1530.0,341.0,15.0,2229.0,51.0,42.0,82.4,9.0,17.6,1574.0,7166.0,3815.0,41.0,41.0,0,7.0,1.0,14.3,0.37,0.05,0.0,0.0,19.4,0.0,0,0,51.0,33.0,20.0,25.0,6.0,12.0,55.0,21.8,25.0,6.0,19.0,26.0,77.0,11.0,22,20,1718,0,3.0,3.0,0,0,0,9,1,2.2,2.5,41.0,193.0,48.0,0.0,0.16,0.16,0.0,0.16,0.02,0.12,0.13,0.02,0.13,1876.0,2074.0,90.5,28816.0,9429.0,3.0,2.2,3.4,0.8,28.0,161.0,41.0,1.0,193.0
2017-2018,24,Paris S-G,Coupe de France,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,3,217,0,2.0,2.0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.83,0.83,0.0,0.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2017-2018,24,Paris S-G,Trophée des Champions,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1,1,89,0,0.0,0.0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2018-2019,25,Paris S-G,1. Champions Lg,24.0,21.0,2.0,0.0,0.0,0.0,1.0,2.0,665.0,13.0,127.0,414.0,128.0,4.0,665.0,9.0,8.0,88.9,1.0,11.1,421.0,1915.0,924.0,16.0,17.0,0,2.0,1.0,50.0,0.3,0.15,0.0,0.0,18.4,0.0,0,0,25.0,16.0,8.0,12.0,5.0,9.0,20.0,45.0,10.0,3.0,7.0,5.0,30.0,5.0,7,7,598,0,0.0,0.0,0,0,0,2,0,0.1,0.3,16.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,552.0,603.0,91.5,7607.0,2275.0,0.0,0.1,0.6,-0.1,4.0,37.0,7.0,0.0,39.0
2018-2019,25,Paris S-G,1. Coupe de la Ligue,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,45,0,0.0,0.0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
